Gene ID
HMGCL
LOC101928371,EIF2AK3
EIF2AK3
APPL1
SLC2A2
SLC2A2
WFS1
WFS1
WFS1
WFS1
WFS1
WFS1
WFS1
SLC2A9
SLC2A9
SLC2A9
SLC2A9
SLC2A9
SLC2A9
SLC2A9
SLC2A9
ABCG2
ABCG2
ABCG2
ABCG2
RFX6
RFX6
RFX6
RFX6
RFX6
RFX6
RFX6
RFX6
RFX6
GCK
PAX4
PAX4
BLK
BLK
BLK
BLK
GLIS3
GLIS3
GLIS3
CEL
CEL
CEL
CEL
PTF1A
NEUROG3
ABCC8
ABCC8
ABCC8
HNF1A
HNF1A
HNF1A
HNF1A
HNF1A
HNF1A
HNF1A,C12orf43
PLUT,PDX1
TBC1D4
TBC1D4
TBC1D4
TBC1D4
TBC1D4
TBC1D4
TBC1D4
TBC1D4
HNF1B
HNF1B
STAT3
STAT3
STAT3
GALR2,ZACN,EXOC7
GATA6
GATA6
IER3IP1
AKT2
